"host_name"	"perc_dis"	"tissue_Endozoicomonas"	"turf_contact_percent"
"Pocillopora"	5.830450841	148.6521739	2
"Stylophora"	3.687150838	634.4285714	7.5
"Psammocora"	12.38164603	244.75	4.333333333
"Physogyra"	0	1.8	10
"Diploastrea"	0.704225352	5	7.833333333
"Echinopora"	1.87680462	46.55555556	8.555555556
"Favites"	0.585529067	14.22222222	8
"Echinophyllia"	0.553505535	55.75	9.2
"Hydnophora"	3.109656301	425.5714286	4.285714286
"Lobophyllia"	3.1543052	145.2941176	8.866666667
"Turbinaria"	1.872074883	44.90909091	13
"Porites"	16.51667822	340.1538462	6.5
"Pachyseris"	2.951510892	6.875	9.285714286
"Galaxea"	3.649635036	58.5	6.538461538
"Acropora"	3.64311332	58.68181818	1.214285714
"Montipora"	9.668287726	0	0.75
"Pavona"	4.369457063	3.708333333	8.518518519
"Goniastrea"	0.288018433	6.714285714	1.571428571
"Cyphastrea"	21.66207168	621.6666667	8.333333333
"Seriatopora"	5.12195122	62.75	0
"Tubastraea"	0.909090909	7.285714286	0.5
"Platygyra"	1.229773463	204.4	14
"Acanthastrea"	0	8	2.5
"Orbicella"	3.315238465	11.75	0
"Stephanocoenia"	2.111324376	50	0
