"host_name"	"perc_dis"	"tissue_Endozoicomonas"	"depth"
"Pocillopora"	5.830450841	148.6521739	4.1548
"Stylophora"	3.687150838	634.4285714	2.055745455
"Psammocora"	12.38164603	244.75	2.990533333
"Physogyra"	0	1.8	2.98496
"Diploastrea"	0.704225352	5	4.601323077
"Echinopora"	1.87680462	46.55555556	2.593966667
"Favites"	0.585529067	14.22222222	1.84384
"Echinophyllia"	0.553505535	55.75	7.79648
"Hydnophora"	3.109656301	425.5714286	2.409885714
"Lobophyllia"	3.1543052	145.2941176	5.069444444
"Turbinaria"	1.872074883	44.90909091	5.208769231
"Porites"	16.51667822	340.1538462	3.764941935
"Pachyseris"	2.951510892	6.875	6.594436364
"Galaxea"	3.649635036	58.5	4.321275
"Acropora"	3.64311332	58.68181818	2.843767742
"Montipora"	9.668287726	0	1.8774
"Pavona"	4.369457063	3.708333333	4.402013333
"Goniastrea"	0.288018433	6.714285714	1.997142857
"Cyphastrea"	21.66207168	621.6666667	1.983333333
"Seriatopora"	5.12195122	62.75	1.9
"Tubastraea"	0.909090909	7.285714286	5.347
"Platygyra"	1.229773463	204.4	2.554
"Acanthastrea"	0	8	7.89
"Montastraea"	2.054854925	0	4.38912
"Orbicella"	3.315238465	11.75	5.365963636
"Stephanocoenia"	2.111324376	50	6.21792
